timestamp,log_level,Text Size (bits),SMC Ratio,SMC + Huffman Ratio,Huffman Ratio,Gzip Ratio,Zstd Ratio
2023-08-27 16:11:10,870,INFO,32,-0.250000,-2.000000,-1.500000,-6.250000,-2.250000
2023-08-27 16:11:10,871,INFO,208,0.346154,-0.384615,-0.903846,-0.961538,-0.346154
2023-08-27 16:11:10,873,INFO,352,0.545455,0.272727,-0.505682,-0.477273,-0.204545
2023-08-27 16:11:10,873,INFO,88,0.181818,-0.818182,-1.352273,-2.272727,-0.818182
2023-08-27 16:11:10,874,INFO,160,0.450000,0.100000,-0.837500,-1.250000,-0.450000
2023-08-27 16:11:10,876,INFO,560,0.400000,-0.071429,-0.319643,-0.285714,-0.042857
2023-08-27 16:11:10,878,INFO,624,0.512821,0.384615,-0.205128,-0.179487,0.025641
2023-08-27 16:11:10,880,INFO,680,0.388235,0.000000,-0.277941,-0.188235,0.011765
2023-08-27 16:11:10,883,INFO,736,0.434783,0.097826,-0.187500,-0.141304,0.065217
2023-08-27 16:11:10,884,INFO,288,0.222222,-0.694444,-0.909722,-0.694444,-0.250000
2023-08-27 16:11:10,886,INFO,624,0.448718,0.205128,-0.298077,-0.217949,-0.012821
2023-08-27 16:11:10,889,INFO,760,0.494737,0.305263,-0.171053,-0.126316,0.073684
2023-08-27 16:11:10,889,INFO,136,0.176471,-0.764706,-0.808824,-1.470588,-0.529412
2023-08-27 16:11:10,890,INFO,128,0.562500,0.125000,-0.882812,-1.562500,-0.562500
2023-08-27 16:11:10,892,INFO,568,0.352113,-0.253521,-0.308099,-0.295775,-0.056338
2023-08-27 16:11:10,893,INFO,216,0.370370,-0.074074,-0.666667,-0.925926,-0.333333
2023-08-27 16:11:10,893,INFO,32,-0.250000,-2.000000,-1.500000,-6.250000,-2.250000
2023-08-27 16:11:10,893,INFO,48,-0.166667,-1.500000,-1.145833,-4.166667,-1.500000
2023-08-27 16:11:10,894,INFO,176,0.363636,-0.318182,-1.051136,-1.136364,-0.409091
2023-08-27 16:11:10,895,INFO,208,0.230769,-0.576923,-0.802885,-0.961538,-0.346154
2023-08-27 16:11:10,898,INFO,840,0.466667,0.314286,-0.078571,-0.076190,0.104762
2023-08-27 16:11:10,900,INFO,440,0.363636,-0.145455,-0.490909,-0.400000,-0.163636
2023-08-27 16:11:10,902,INFO,800,0.460000,0.140000,-0.148750,-0.090000,0.080000
2023-08-27 16:11:10,905,INFO,696,0.413793,0.126437,-0.254310,-0.137931,0.011494
2023-08-27 16:11:10,909,INFO,1032,0.449612,0.155039,-0.085271,0.007752,0.116279
2023-08-27 16:11:10,912,INFO,848,0.509434,0.311321,-0.129717,-0.066038,0.084906
2023-08-27 16:11:10,914,INFO,616,0.402597,-0.012987,-0.349026,-0.272727,-0.012987
2023-08-27 16:11:10,920,INFO,2080,0.469231,0.303846,0.170673,0.223077,0.288462
2023-08-27 16:11:10,922,INFO,600,0.506667,0.293333,-0.111667,-0.186667,0.040000
2023-08-27 16:11:10,925,INFO,880,0.463636,0.272727,-0.046591,-0.036364,0.145455
2023-08-27 16:11:10,925,INFO,24,-0.333333,-2.000000,-1.583333,-8.333333,-3.000000
2023-08-27 16:11:10,925,INFO,56,-0.142857,-1.571429,-1.178571,-3.571429,-1.285714
2023-08-27 16:11:10,926,INFO,320,0.625000,0.475000,-0.406250,-0.625000,-0.225000
2023-08-27 16:11:10,928,INFO,544,0.485294,0.264706,-0.261029,-0.294118,-0.044118
2023-08-27 16:11:10,930,INFO,576,0.527778,0.305556,-0.248264,-0.250000,0.000000
2023-08-27 16:11:10,931,INFO,280,0.514286,0.285714,-0.600000,-0.714286,-0.257143
2023-08-27 16:11:10,934,INFO,952,0.546218,0.344538,-0.037815,0.008403,0.151261
2023-08-27 16:11:10,936,INFO,512,0.453125,0.078125,-0.345703,-0.359375,-0.062500
2023-08-27 16:11:10,938,INFO,608,0.473684,0.263158,-0.292763,-0.250000,-0.026316
2023-08-27 16:11:10,939,INFO,568,0.436620,0.112676,-0.267606,-0.267606,-0.014085
2023-08-27 16:11:10,941,INFO,448,0.267857,-0.321429,-0.370536,-0.392857,-0.160714
2023-08-27 16:11:10,944,INFO,912,0.543860,0.456140,0.018640,0.008772,0.166667
2023-08-27 16:11:10,947,INFO,1112,0.561151,0.388489,-0.047662,0.050360,0.172662
